,precision,recall,f1-score,support
0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
macro avg,0.8962962962962964,0.8962962962962964,0.8962962962962964,42.0
weighted avg,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0
